unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
1123,35.834609501133784,367351155,368365311,367811758,1,1,0.0097,29.1605,29.179,46.0603,101.4156,0,1.520297E-05,7.91821364E-08,0.000106811523,-2.23715019,-2.237147,3.09944153E-06,0.0964636356,0.09646391,2.75671482E-07,992,0,0,0
1125,35.887539601133788,367990283,368894473,368361719,1,1,0.0253,23.5198,23.5597,37.1436,90.419,0,1.42132167E-05,7.402717E-08,0.000106811523,-1.808648,-1.80865288,4.887581E-06,0.140801609,0.140801013,5.96046448E-07,993,0,0,0
1126,35.91357410113379,368305579,369154759,368889967,1,1,0.0133,48.1071,48.1301,58.4388,84.918,0,1.41280834E-05,7.358377E-08,8.392334E-05,-4.880848,-4.880843,4.76837158E-06,0.0075333924,0.007533428,3.53902578E-08,994,0,0,0
1129,35.989952001133787,369108479,369918440,369409604,1,1,0.0597,23.6873,23.778,30.1125,80.9961,0,1.217431E-05,6.340786E-08,8.392334E-05,14.0672445,14.06724,4.76837158E-06,0.9999992,0.9999992,0,997,0,0,0
1130,36.016640201133789,369258267,370185200,369682621,1,1,0.0204,26.1643,26.2032,42.4354,92.6933,0,1.29348846E-05,6.736919E-08,9.918213E-05,10.0807524,10.0807476,4.76837158E-06,0.9999581,0.9999581,0,998,0,0,0
1132,36.069364301133788,369737303,370713004,370181999,1,1,0.0586,22.5204,22.6159,44.4696,97.5701,0,1.48981708E-05,7.759464E-08,8.392334E-05,12.6676407,12.6676559,1.52587891E-05,0.999996841,0.999996841,0,1000,0,0,0
1133,36.099215401133783,370059116,371011542,370438988,1,1,0.0216,23.4251,23.4639,37.9872,95.2426,0,1.09896173E-05,5.723759E-08,7.62939453E-05,15.7610407,15.7610292,1.14440918E-05,0.9999999,0.9999999,0,1000,0,0,0
1134,36.128749701133785,370226309,371306399,370710117,1,1,0.0173,25.0496,25.0816,48.3808,108.009,0,1.10525889E-05,5.756557E-08,9.15527344E-05,18.6558151,18.6558151,0,1,1,0,1001,0,0,0
1135,36.155935001133784,370395440,371578616,371009434,1,1,0.0183,27.0954,27.127,61.3994,118.3176,0,1.17249E-05,6.106719E-08,9.15527344E-05,17.9899273,17.9899368,9.536743E-06,1,1,0,1003,0,0,0
1136,36.183750201133783,370878908,371856847,371574132,1,1,0.0137,27.6659,27.6901,69.5224,97.7939,0,1.61175249E-05,8.39454444E-08,0.000122070313,6.602891,6.602885,6.198883E-06,0.9986454,0.998645365,5.96046448E-08,1004,0,0,0
1138,36.241311601133788,371522956,372431926,371853653,1,1,0.0122,25.3252,25.3503,33.0697,90.897,0,1.47809251E-05,7.698399E-08,0.000122070313,10.170001,10.1700029,1.90734863E-06,0.9999617,0.9999617,0,1006,0,0,0
1139,36.265464701133787,371822232,372673762,372077927,1,1,0.0127,21.2125,21.2376,25.5695,85.153,0,1.48787085E-05,7.74932758E-08,0.000106811523,10.6500912,10.6500816,9.536743E-06,0.9999763,0.9999763,0,1007,0,0,0
1140,36.297015501133785,371982992,372989071,372425463,1,1,0.0176,26.5098,26.542,44.2471,100.6079,0,1.51687746E-05,7.900403E-08,0.000122070313,8.067511,8.067504,6.67572E-06,0.999686539,0.999686539,0,1008,0,0,0
1141,36.323987301133783,372317308,373259075,372670431,1,1,0.0215,21.2489,21.2885,35.3123,94.1767,0,1.50762471E-05,7.852212E-08,0.000106811523,8.682539,8.682538,9.536743E-07,0.9998305,0.9998305,0,1009,0,0,0
1142,36.355487701133789,372629156,373574307,372984936,1,1,0.0148,26.6084,26.6349,35.578,94.5151,0,1.65398833E-05,8.614523E-08,0.0001373291,3.66110063,3.66109943,1.1920929E-06,0.974939942,0.974939942,0,1010,0,0,0
1143,36.387598501133787,372943124,373894755,373255134,1,1,0.0123,23.6181,23.6429,31.201,95.1631,0,1.72995478E-05,9.0101814E-08,0.000106811523,3.52652717,3.52652383,3.33786E-06,0.9714332,0.9714331,1.1920929E-07,1011,0,0,0
