"frameIndex","bestEffortTimestampSeconds","packetDurationSeconds","keyFrame","pictureType"
"0","0",,"1","I"
"1","0.033333",,"0","P"
"2","0.066667",,"0","P"
"3","0.1",,"0","P"
"4","0.133333",,"0","P"
"5","0.166667",,"0","P"
"6","0.2",,"0","P"
"7","0.233333",,"0","P"
"8","0.266667",,"0","P"
"9","0.3",,"0","P"
"10","0.333333",,"0","P"
"11","0.366667",,"0","P"
"12","0.4",,"0","P"
"13","0.433333",,"0","P"
"14","0.466667",,"0","P"
"15","0.5",,"0","P"
"16","0.533333",,"0","P"
"17","0.566667",,"0","P"
"18","0.6",,"0","P"
"19","0.633333",,"0","P"
"20","0.666667",,"0","P"
"21","0.7",,"0","P"
"22","0.733333",,"0","P"
"23","0.766667",,"0","P"
"24","0.833333",,"0","P"
"25","0.866667",,"0","P"
"26","0.9",,"0","P"
"27","0.933333",,"0","P"
"28","0.966667",,"0","P"
"29","1",,"0","P"
"30","1.033333",,"0","P"
"31","1.066667",,"0","P"
"32","1.1",,"0","P"
"33","1.133333",,"0","P"
"34","1.166667",,"0","P"
"35","1.2",,"0","P"
"36","1.233333",,"0","P"
"37","1.266667",,"0","P"
"38","1.3",,"0","P"
"39","1.333333",,"0","P"
"40","1.366667",,"0","P"
"41","1.4",,"0","P"
"42","1.433333",,"0","P"
"43","1.466667",,"0","P"
"44","1.5",,"0","P"
"45","1.533333",,"0","P"
"46","1.566667",,"0","P"
"47","1.6",,"0","P"
"48","1.633333",,"0","P"
"49","1.666667",,"0","P"
"50","1.7",,"0","P"
"51","1.733333",,"0","P"
"52","1.766667",,"0","P"
"53","1.8",,"0","P"
"54","1.833333",,"0","P"
"55","1.866667",,"0","P"
"56","1.9",,"0","P"
"57","1.933333",,"0","P"
"58","1.966667",,"0","P"
"59","2",,"0","P"
"60","2.033333",,"0","P"
"61","2.066667",,"0","P"
"62","2.1",,"0","P"
"63","2.133333",,"0","P"
"64","2.166667",,"0","P"
"65","2.2",,"0","P"
"66","2.233333",,"0","P"
"67","2.266667",,"0","P"
"68","2.3",,"0","P"
"69","2.333333",,"0","P"
"70","2.366667",,"0","P"
"71","2.4",,"0","P"
"72","2.433333",,"0","P"
"73","2.466667",,"0","P"
"74","2.5",,"0","P"
"75","2.533333",,"0","P"
"76","2.566667",,"0","P"
"77","2.6",,"0","P"
"78","2.633333",,"0","P"
"79","2.666667",,"0","P"
"80","2.7",,"0","P"
"81","2.733333",,"0","P"
"82","2.766667",,"0","P"
"83","2.8",,"0","P"
"84","2.833333",,"0","P"
"85","2.866667",,"0","P"
"86","2.9",,"0","P"
"87","2.933333",,"0","P"
"88","2.966667",,"0","P"
"89","3",,"0","P"
"90","3.033333",,"0","P"
"91","3.066667",,"0","P"
"92","3.1",,"0","P"
"93","3.133333",,"0","P"
"94","3.166667",,"0","P"
"95","3.2",,"0","P"
"96","3.233333",,"0","P"
"97","3.266667",,"0","P"
"98","3.3",,"0","P"
"99","3.333333",,"0","P"
"100","3.366667",,"0","P"
"101","3.4",,"0","P"
"102","3.433333",,"0","P"
"103","3.466667",,"0","P"
"104","3.5",,"0","P"
"105","3.533333",,"0","P"
"106","3.566667",,"0","P"
"107","3.6",,"0","P"
"108","3.633333",,"0","P"
"109","3.666667",,"0","P"
"110","3.7",,"0","P"
"111","3.733333",,"0","P"
"112","3.766667",,"0","P"
"113","3.8",,"0","P"
"114","3.833333",,"0","P"
"115","3.866667",,"0","P"
"116","3.9",,"0","P"
"117","3.933333",,"0","P"
"118","3.966667",,"0","P"
"119","4",,"0","P"
"120","4.033333",,"0","P"
"121","4.066667",,"0","P"
"122","4.1",,"0","P"
"123","4.133333",,"0","P"
"124","4.166667",,"0","P"
"125","4.2",,"0","P"
"126","4.233333",,"0","P"
"127","4.266667",,"0","P"
"128","4.3",,"0","P"
"129","4.333333",,"0","P"
"130","4.366667",,"0","P"
"131","4.4",,"0","P"
"132","4.433333",,"0","P"
"133","4.466667",,"0","P"
"134","4.5",,"0","P"
"135","4.533333",,"0","P"
"136","4.566667",,"0","P"
"137","4.6",,"0","P"
"138","4.633333",,"0","P"
"139","4.666667",,"0","P"
"140","4.7",,"0","P"
"141","4.733333",,"0","P"
"142","4.766667",,"0","P"
"143","4.8",,"0","P"
"144","4.833333",,"0","P"
"145","4.866667",,"0","P"
"146","4.9",,"0","P"
"147","4.933333",,"0","P"
"148","4.966667",,"0","P"
"149","5",,"0","P"
"150","5.033333",,"0","P"
"151","5.066667",,"0","P"
"152","5.1",,"0","P"
"153","5.133333",,"0","P"
"154","5.166667",,"0","P"
"155","5.2",,"0","P"
"156","5.233333",,"0","P"
"157","5.266667",,"0","P"
"158","5.3",,"0","P"
"159","5.333333",,"0","P"
"160","5.366667",,"0","P"
"161","5.4",,"0","P"
"162","5.433333",,"0","P"
"163","5.466667",,"0","P"
"164","5.5",,"0","P"
"165","5.533333",,"0","P"
"166","5.566667",,"0","P"
"167","5.6",,"0","P"
"168","5.633333",,"0","P"
"169","5.666667",,"0","P"
"170","5.7",,"0","P"
"171","5.733333",,"0","P"
"172","5.766667",,"0","P"
"173","5.8",,"0","P"
"174","5.833333",,"0","P"
"175","5.866667",,"0","P"
"176","5.9",,"0","P"
"177","5.933333",,"0","P"
"178","5.966667",,"0","P"
"179","6",,"0","P"
"180","6.033333",,"0","P"
"181","6.066667",,"0","P"
"182","6.1",,"0","P"
"183","6.133333",,"0","P"
"184","6.166667",,"0","P"
"185","6.2",,"0","P"
"186","6.233333",,"0","P"
"187","6.266667",,"0","P"
"188","6.3",,"0","P"
"189","6.333333",,"0","P"
"190","6.366667",,"0","P"
"191","6.4",,"0","P"
"192","6.433333",,"0","P"
"193","6.466667",,"0","P"
"194","6.5",,"0","P"
"195","6.533333",,"0","P"
"196","6.566667",,"0","P"
"197","6.6",,"0","P"
"198","6.633333",,"0","P"
"199","6.666667",,"0","P"
