unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
290,12.950604901757369,138003422,139019959,138750053,1,1,0.0103,41.2137,41.2356,74.6631,101.6537,0,1.66280261E-05,8.66043E-08,0.000152587891,9.94533348,9.945343,9.536743E-06,0.9999521,0.9999521,0,255,0,0,0
291,12.97566250175737,138343187,139270305,138750170,1,1,14.6674,7.8244,22.5185,40.6983,92.7118,0,1.703986E-05,8.874927E-08,0.0001373291,8.7602005,8.760202,1.90734863E-06,0.9998432,0.9998432,0,255,0,0,0
292,13.002447101757371,138659900,139538193,139015780,1,1,0.0147,24.2458,24.2688,35.588,87.8293,0,1.70117237E-05,8.86027252E-08,0.000152587891,5.44733524,5.447342,6.67572E-06,0.995710731,0.995710731,0,257,0,0,0
293,13.02894370175737,138968816,139803043,139265500,1,1,0.0159,22.801,22.8331,29.6684,83.4227,0,1.76788635E-05,9.20774141E-08,0.0001373291,1.58814716,1.58815289,5.722046E-06,0.8303553,0.830356061,7.748604E-07,258,0,0,0
294,13.054388501757369,139148952,140057399,139796250,1,1,0.0127,27.9384,27.965,64.7298,90.8447,0,1.61109674E-05,8.391129E-08,0.0001373291,8.226656,8.226654,1.90734863E-06,0.9997326,0.9997326,0,259,0,0,0
295,13.081334101757371,139460341,140327294,139796507,1,1,1.2492,23.8744,25.1323,33.6166,86.6953,0,1.60663149E-05,8.367872E-08,0.000122070313,8.154634,8.154636,1.90734863E-06,0.9997127,0.9997127,0,260,0,0,0
296,13.103717601757371,139611178,140550659,140051839,1,1,0.0163,23.4455,23.4771,44.0661,93.9481,0,2.06026834E-05,1.07305645E-07,0.000152587891,8.060654,8.060663,9.536743E-06,0.9996844,0.9996844,0,261,0,0,0
297,13.133801301757369,139929733,140851572,140323209,1,1,0.0201,23.5349,23.5691,39.3476,92.1839,0,1.78936116E-05,9.31958937E-08,0.0001373291,-0.0506027639,-0.05059886,3.90410423E-06,0.487352,0.487352967,9.536743E-07,262,0,0,0
298,13.159286601757369,140249370,141106931,140546900,1,1,0.0096,21.1881,21.2073,29.753,85.7561,0,1.64673838E-05,8.57676241E-08,0.000152587891,10.5036726,10.50367,2.861023E-06,0.9999726,0.9999726,0,263,0,0,0
299,13.182044301757371,140425217,141334045,140847433,1,1,0.0071,25.317,25.333,42.2216,90.8828,0,1.6057993E-05,8.363538E-08,0.000122070313,9.341145,9.34115,5.722046E-06,0.999912262,0.999912262,0,264,0,0,0
300,13.21224920175737,140741728,141636350,141103953,1,1,0.0197,23.8933,23.9317,36.2225,89.4622,0,1.56163E-05,8.13348962E-08,0.000122070313,9.181766,9.181757,8.583069E-06,0.9998971,0.9998971,0,265,0,0,0
302,13.256159701757371,141226700,142075583,141633724,1,1,0.0322,28.2591,28.31,40.7024,84.8883,0,1.85217723E-05,9.64675664E-08,0.0001373291,-2.11968,-2.11967945,4.76837158E-07,0.1071987,0.107198745,4.47034836E-08,266,0,0,0
303,13.287622501757371,141548903,142390322,141841928,1,1,0.0123,19.6641,19.6879,29.3025,84.1419,0,1.85715362E-05,9.672675E-08,0.00016784668,0.7059232,0.7059245,1.31130219E-06,0.6694997,0.6695,2.98023224E-07,268,0,0,0
304,13.315565201757369,141683756,142669349,142073196,1,1,0.0202,21.9181,21.9522,38.944,98.5593,0,1.82867734E-05,9.52436139E-08,0.00016784668,1.50491548,1.50491858,3.09944153E-06,0.818306446,0.8183069,4.76837158E-07,269,0,0,0
306,13.374928101757369,142180798,143262947,142667298,1,1,0.0149,24.2206,24.2471,48.65,108.2149,0,1.58604471E-05,8.26065E-08,0.0001373291,-5.161993,-5.16199541,2.38418579E-06,0.0056976187,0.005697605,1.35041773E-08,271,0,0,0
307,13.39927510175737,142510776,143506712,142919447,1,1,0.0151,23.1075,23.1321,40.8671,99.5936,0,1.534792E-05,7.993708E-08,0.000152587891,-5.110201,-5.11020565,4.76837158E-06,0.00599866966,0.005998641,2.8871E-08,272,0,0,0
309,13.455698601757369,143145062,144070898,143503100,1,1,0.0231,18.1355,18.1741,35.8038,92.5836,0,1.5658783E-05,8.155616E-08,0.000122070313,-2.5248208,-2.5248158,5.00679E-06,0.07413637,0.0741367042,3.35276127E-07,274,0,0,0
