unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
1342,40.610726903911569,488776962,489727443,489218191,1,1,5.801,16.81,22.6281,44.1229,95.0481,0,1.28317888E-05,6.68322357E-08,0.000106811523,2.62854862,2.62854481,3.81469727E-06,0.9326765,0.932676256,2.38418579E-07,1259,0,0,0
1344,40.66034330391156,489435399,490223773,489723638,1,1,0.0119,22.1436,22.1689,28.8239,78.8374,0,1.389611E-05,7.237558E-08,9.15527344E-05,-0.165728182,-0.165734291,6.109476E-06,0.45866254,0.45866102,1.51991844E-06,1261,0,0,0
1345,40.686356903911559,489573413,490483642,490002691,1,1,0.0137,25.3727,25.3977,42.9278,91.0229,0,1.63709574E-05,8.52654054E-08,9.15527344E-05,0.363232434,0.363222957,9.47713852E-06,0.5898227,0.5898204,2.32458115E-06,1261,0,0,0
1346,40.709655803911559,489889152,490716766,490222172,1,1,0.0153,20.1076,20.1381,33.302,82.7614,0,1.32793211E-05,6.916313E-08,0.000106811523,4.057108,4.05711269,4.76837158E-06,0.9829952,0.9829953,5.96046448E-08,1262,0,0,0
1347,40.733856603911562,490208232,490958530,490479866,1,1,0.0139,20.9137,20.9421,27.1634,75.0298,0,1.65567562E-05,8.623311E-08,0.000122070313,3.13292313,3.13292122,1.90734863E-06,0.958230555,0.9582305,5.96046448E-08,1263,0,0,0
1348,40.768644703911562,490366326,491306715,490953500,1,1,0.0129,23.9164,23.9462,58.7174,94.0389,0,1.18562721E-05,6.17514146E-08,7.62939453E-05,6.093503,6.09350538,2.38418579E-06,0.9977476,0.9977476,0,1264,0,0,0
1350,40.815008903911561,490855667,491770362,491302945,1,1,0.0273,24.8623,24.9075,44.7278,91.4695,0,1.24837052E-05,6.50193E-08,9.15527344E-05,4.50812435,4.50812531,9.536743E-07,0.989101,0.989101,0,1266,0,0,0
1351,40.836455803911562,491193925,491984623,491514669,1,1,0.0178,18.6626,18.6992,32.0744,79.0698,0,1.392657E-05,7.253422E-08,9.15527344E-05,7.595415,7.595415,0,0.9994975,0.9994975,0,1267,0,0,0
1352,40.86082520391156,491495708,492228262,491768272,1,1,0.0168,24.3935,24.4244,27.2564,73.2554,0,1.95731845E-05,1.0194367E-07,0.000106811523,-1.60132861,-1.60132253,6.07967377E-06,0.167796016,0.16779685,8.34465E-07,1268,0,0,0
1353,40.884551503911567,491657798,492465605,491979913,1,1,0.0104,18.3677,18.3911,32.2115,80.7807,0,1.26048144E-05,6.565008E-08,9.15527344E-05,2.7542634,2.75426078,2.62260437E-06,0.940153658,0.940153539,1.1920929E-07,1268,0,0,0
1354,40.909422503911557,491807381,492714410,492224060,1,1,0.0103,20.9789,20.9991,41.6679,90.7029,0,1.23618065E-05,6.438441E-08,9.15527344E-05,4.10565,4.105645,4.76837158E-06,0.983787835,0.9837878,5.96046448E-08,1270,0,0,0
1355,40.932972103911567,492133595,492950086,492461736,1,1,0.0176,19.0496,19.0907,32.8141,81.6491,0,1.34702941E-05,7.015778E-08,9.918213E-05,7.14434528,7.144349,3.81469727E-06,0.9992113,0.9992113,0,1270,0,0,0
1357,40.979416503911565,492606575,493414488,492947129,1,1,1.3188,21.04,22.3697,34.0554,80.7913,0,1.18819571E-05,6.18851956E-08,0.000122070313,8.248754,8.248752,1.90734863E-06,0.999738455,0.999738455,0,1272,0,0,0
1359,41.024479003911566,493088754,493864884,493412984,1,1,0.0077,21.0044,21.0216,32.423,77.613,0,1.28814809E-05,6.70910438E-08,9.15527344E-05,7.72385025,7.723842,8.106232E-06,0.999558032,0.999558032,0,1273,0,0,0
1361,41.073339303911567,493569884,494353587,493863640,1,1,0.022,17.4554,17.492,29.3756,78.3703,0,1.3808738E-05,7.192051E-08,0.000106811523,2.724154,2.72415113,2.861023E-06,0.938437,0.9384368,1.78813934E-07,1276,0,0,0
1363,41.125229703911558,494058063,494872251,494350490,1,1,0.4037,18.8302,19.2428,29.2427,81.4188,0,1.2960264E-05,6.75013752E-08,9.15527344E-05,4.09866238,4.09866333,9.536743E-07,0.983676,0.9836761,5.96046448E-08,1277,0,0,0
1364,41.150520903911556,494205428,495125219,494647012,1,1,0.0169,24.9461,24.9847,44.1584,91.9791,0,1.80914667E-05,9.422639E-08,0.000122070313,-1.09230065,-1.0923022,1.54972076E-06,0.2511853,0.251185,2.98023224E-07,1278,0,0,0
1365,41.173336703911559,494525588,495353495,494871319,1,1,0.0193,21.0272,21.0639,34.5731,82.7907,0,1.31694824E-05,6.85910564E-08,0.0001373291,3.56448627,3.5644865,2.38418579E-07,0.972467959,0.972467959,0,1279,0,0,0
1367,41.221956303911568,495012168,495839519,495349235,1,1,0.0305,20.4436,20.4918,33.7067,82.7351,0,1.46050807E-05,7.6068126E-08,9.15527344E-05,0.5420145,0.54201293,1.54972076E-06,0.6322809,0.6322805,3.57627869E-07,1281,0,0,0
1368,41.243903003911569,495171509,496058335,495607392,1,1,0.0116,22.6751,22.6998,43.5883,88.6826,0,1.3589387E-05,7.077806E-08,0.000106811523,1.78323555,1.78322983,5.722046E-06,0.8560959,0.856095254,6.556511E-07,1282,0,0,0
1370,41.286522103911565,495804124,496485636,496052238,1,1,2.476,17.2309,19.7179,24.8114,68.1512,0,1.39477679E-05,7.26446245E-08,0.000106811523,3.1857245,3.18571949,5.00679E-06,0.960293531,0.960293353,1.78813934E-07,1284,0,0,0
1371,41.317237103911566,495973521,496792301,496287757,1,1,0.0169,21.4109,21.4456,31.4236,81.878,0,1.361108E-05,7.089104E-08,9.918213E-05,3.60052037,3.600519,1.43051147E-06,0.973416448,0.973416448,0,1284,0,0,0
1372,41.339524803911559,496131733,497015075,496483288,1,1,0.0112,17.982,18.0015,35.1555,88.3342,0,1.84171131E-05,9.59224664E-08,0.000106811523,-0.179252774,-0.1792525,2.682209E-07,0.4553064,0.4553065,8.940697E-08,1286,0,0,0
1373,41.364202503911557,496448996,497262101,496788466,1,1,0.0174,27.0074,27.0419,33.947,81.3105,0,1.388369E-05,7.231089E-08,0.000122070313,2.69644523,2.696444,1.1920929E-06,0.9368166,0.9368165,5.96046448E-08,1286,0,0,0
1375,41.416993103911565,496932113,497789760,497260505,1,1,8.5559,14.9859,23.5663,32.8392,85.7647,0,1.52537687E-05,7.94467141E-08,0.000106811523,-2.05926681,-2.05926847,1.66893E-06,0.113119371,0.113119192,1.78813934E-07,1288,0,0,0
1377,41.467000603911558,497412718,498289733,497786453,1,1,0.0121,22.8367,22.8633,37.3735,87.7015,0,1.31209763E-05,6.83384158E-08,0.000106811523,6.37634563,6.37634,5.722046E-06,0.998301566,0.998301566,0,1290,0,0,0
1379,41.515434203911568,497895790,498774486,498285905,1,1,1.7835,20.8188,22.6195,39.0115,87.8696,0,1.43285333E-05,7.462778E-08,9.918213E-05,5.81827927,5.8182745,4.76837158E-06,0.9970361,0.9970361,0,1292,0,0,0
1381,41.565307003911556,498372601,499273212,498770957,1,1,5.0145,18.298,23.3339,39.8356,90.0611,0,1.20565983E-05,6.279478E-08,7.62939453E-05,4.179532,4.179535,2.861023E-06,0.9849251,0.9849251,0,1295,0,0,0
