unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
923,29.408279903741498,303071208,304032977,303385803,1,1,0.0129,23.8865,23.914,31.4595,96.1769,0,1.75668556E-05,9.149404E-08,0.000122070313,-2.180313,-2.18030643,6.67572E-06,0.101532362,0.101532973,6.109476E-07,818,0,0,0
925,29.463275303741497,303549894,304582768,304030104,1,1,6.1377,22.5181,28.674,48.021,103.2874,0,1.68819552E-05,8.792685E-08,9.15527344E-05,-1.27338839,-1.27338493,3.4570694E-06,0.218677759,0.218678355,5.96046448E-07,819,0,0,0
926,29.483414903741497,303890847,304784185,304276938,1,1,0.0172,22.5795,22.6141,38.6091,89.3338,0,1.65114361E-05,8.59970655E-08,0.000122070313,3.51592,3.51591945,4.76837158E-07,0.971137345,0.971137345,0,819,0,0,0
927,29.508287503741496,304194900,305033301,304579535,1,1,0.0148,27.0841,27.1162,38.4635,83.8401,0,1.50964524E-05,7.862736E-08,0.000106811523,-0.0603045821,-0.06030345,1.13248825E-06,0.484928429,0.4849287,2.682209E-07,820,0,0,0
930,29.5884387037415,304995832,305834778,305256590,1,1,0.0198,21.7742,21.81,26.0758,83.8946,0,1.54179543E-05,8.03018452E-08,0.000106811523,-0.9986144,-0.998607337,7.033348E-06,0.269213945,0.269215316,1.37090683E-06,823,0,0,0
932,29.633960903741496,305472018,306289998,305832223,1,1,7.9651,18.8522,26.8553,36.0205,81.798,0,1.56848655E-05,8.169201E-08,0.000122070313,-5.267522,-5.267523,9.536743E-07,0.00512992125,0.005129916,5.122274E-09,825,0,0,0
933,29.658904003741497,305796978,306539182,306056030,1,1,0.0104,21.0648,21.0864,25.9052,74.2204,0,1.570592E-05,8.18016659E-08,0.0001373291,-5.324294,-5.32428932,4.76837158E-06,0.00484816963,0.004848193,2.32830644E-08,825,0,0,0
934,29.6781563037415,305962276,306731661,306286943,1,1,0.0281,20.0331,20.0872,32.4667,76.9385,0,1.63244131E-05,8.502298E-08,0.000106811523,1.89608741,1.89609146,4.053116E-06,0.869448066,0.869448543,4.76837158E-07,825,0,0,0
935,29.7013712037415,306118553,306964142,306533855,1,1,0.0186,21.5007,21.5346,41.5302,84.5589,0,1.40853608E-05,7.336126E-08,0.000152587891,5.890154,5.89015,3.81469727E-06,0.9972411,0.9972411,0,826,0,0,0
938,29.777946603741498,306912780,307729619,307214750,1,1,0.0159,23.9249,23.9556,30.197,81.6839,0,1.61771786E-05,8.42561363E-08,0.0001373291,1.95914268,1.95914292,2.38418579E-07,0.876440167,0.876440167,0,829,0,0,0
939,29.8050743037415,307086258,308000790,307485254,1,1,0.0112,26.0436,26.0702,39.8996,91.4532,0,1.613557E-05,8.403942E-08,0.000106811523,-0.343097448,-0.3430984,9.536743E-07,0.415057272,0.415057033,2.38418579E-07,830,0,0,0
941,29.8537758037415,307548979,308488023,307993347,1,1,0.013,23.8572,23.8948,44.4368,93.9044,0,1.49329589E-05,7.777583E-08,0.000122070313,-1.057032,-1.05702937,2.62260437E-06,0.257877052,0.257877558,5.066395E-07,832,0,0,0
